transaction_id,transaction_datetime,account_id,customer_id,channel,type,status,category,subcategory,merchant,mcc,amount_brl,currency,installments,card_present,authorization_code,city,state,country,is_fraud,has_chargeback,balance_after_brl
T00000058,2025-11-25 19:46:41,A001880,C00108,App,Crédito,Aprovada,Lazer,Streaming,Netflix,4899.0,339.17,BRL,1,,,Joinville,SC,Brasil,False,False,1467.26
T00000059,2024-11-17 04:28:42,A000792,C00639,Cartão Online,Crédito,Aprovada,Compras,Livraria,Saraiva,5942.0,41.46,BRL,1,,YR2GNW,Brasília,DF,Brasil,False,False,1883.07
T00000060,2025-03-22 11:30:07,A001642,C01141,Cartão Presencial,Crédito,Aprovada,Transporte,Aplicativo,Uber,4121.0,13.87,BRL,1,True,TQMJK3,Olinda,PE,Brasil,False,False,7426.08
T00000061,2025-05-24 20:13:48,A000028,C00860,Cartão Online,Crédito,Aprovada,Lazer,Show,Eventim,7922.0,98.52,BRL,1,False,3BE6EF,Olinda,PE,Brasil,False,False,1732.64
T00000062,2025-03-13 08:34:06,A001237,C00673,Internet Banking,Crédito,Aprovada,Alimentação,Lanchonete,Pastel & Suco,5814.0,909.28,BRL,1,,,Blumenau,SC,Brasil,False,False,1806.55
T00000063,2026-02-25 16:54:30,A000255,C00439,TED,Débito,Aprovada,Transporte,Pedágio,Veloe,4784.0,47.18,BRL,1,,,Contagem,MG,Brasil,False,False,6925.08
T00000064,2025-03-01 08:29:50,A002059,C01276,PIX,Débito,Aprovada,Lazer,Cinema,UCI,7832.0,415.1,BRL,1,,,Blumenau,SC,Brasil,False,False,2278.35
T00000065,2025-12-25 07:21:41,A000898,C01134,PIX,Débito,Aprovada,Compras,Livraria,Livraria Cultura,5942.0,1663.89,BRL,1,,,Caruaru,PE,Brasil,False,False,4927.16
T00000066,2025-12-17 14:21:20,A001531,C01068,Internet Banking,Débito,Aprovada,Habitação,Água,Sabesp,4900.0,2613.4,BRL,1,,,Canoas,RS,Brasil,False,False,1996.95
T00000067,2024-10-28 18:49:21,A000336,C00118,Internet Banking,Débito,Aprovada,Impostos,Taxas,Sefaz,,1145.4,BRL,1,,,Rio de Janeiro,RJ,Brasil,False,False,5458.76
T00000068,2025-08-20 00:04:26,A002071,C01472,PIX,Débito,Aprovada,Saúde,Clínica,Clínica Vida,8099.0,552.39,BRL,1,,,Blumenau,SC,Brasil,False,False,4245.0
T00000069,2024-10-24 00:41:44,A000477,C00333,Boleto,Débito,Aprovada,Saúde,Laboratório,Dasa,8071.0,1415.12,BRL,1,,,Brasília,DF,Brasil,False,False,7540.22
T00000070,2025-11-18 20:18:14,A001858,C01463,PIX,Débito,Aprovada,Compras,Livraria,Saraiva,5942.0,3469.77,BRL,1,,,Goiânia,GO,Brasil,False,False,979.25
T00000071,2025-02-27 01:32:38,A001894,C01235,PIX,Débito,Aprovada,Lazer,Cinema,UCI,7832.0,962.38,BRL,1,,,Curitiba,PR,Brasil,False,False,0.0
T00000072,2024-11-03 10:10:45,A000300,C00104,Internet Banking,Débito,Estornada,Alimentação,Delivery,Uber Eats,5812.0,474.65,BRL,1,,,Rio de Janeiro,RJ,Brasil,False,False,7690.43
T00000073,2026-01-22 02:27:42,A001934,C00394,Boleto,Débito,Aprovada,Alimentação,Lanchonete,Burger House,5814.0,125.59,BRL,1,,,Uberlândia,MG,Brasil,False,False,7578.65
T00000074,2024-11-12 03:32:14,A001722,C00672,Saque ATM,Débito,Aprovada,Serviços,Academia,BodyTech,7997.0,100.0,BRL,1,,,Feira de Santana,BA,Brasil,False,False,2294.45
T00000075,2024-12-18 17:29:27,A001425,C00093,Internet Banking,Crédito,Aprovada,Transporte,Aplicativo,InDrive,4121.0,61.14,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,6384.68
T00000076,2025-11-07 16:45:57,A000913,C00395,DOC,Débito,Aprovada,Alimentação,Supermercado,HiperMais,5411.0,100.85,BRL,1,,,Caruaru,PE,Brasil,False,False,1501.56
T00000077,2025-01-09 07:14:28,A001738,C00814,Saque ATM,Débito,Aprovada,Habitação,Condomínio,Condomínio Jardins,6536.0,300.0,BRL,1,,,Olinda,PE,Brasil,False,False,3781.15
T00000078,2024-09-22 23:13:40,A000773,C00970,Saque ATM,Débito,Aprovada,Transporte,Combustível,Ipiranga,5541.0,200.0,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,2644.05
T00000079,2025-12-19 03:05:14,A000845,C00503,Cartão Online,Crédito,Aprovada,Transporte,Combustível,Ipiranga,5541.0,91.83,BRL,1,False,33BXXC,São José dos Campos,SP,Brasil,False,False,6853.43
T00000080,2025-11-04 01:25:16,A000200,C00176,Cartão Presencial,Crédito,Aprovada,Saúde,Farmácia,Raia,5912.0,376.56,BRL,1,True,QYQEWP,Recife,PE,Brasil,False,False,7388.35
T00000081,2025-12-02 07:02:39,A000890,C00829,Boleto,Débito,Aprovada,Alimentação,Restaurante,Cantina Bella,5812.0,842.11,BRL,1,,,Curitiba,PR,Brasil,False,False,0.0
T00000082,2025-07-29 00:53:24,A001307,C00613,Cartão Presencial,Crédito,Pendente,Serviços,Telefonia,Claro,4814.0,68.51,BRL,1,True,,Uberlândia,MG,Brasil,False,False,0.0
T00000083,2025-09-30 18:36:37,A001231,C00694,Cartão Presencial,Crédito,Aprovada,Lazer,Cinema,Cinemark,7832.0,30.61,BRL,1,True,WBN7LL,Vitória da Conquista,BA,Brasil,False,False,2861.13
T00000084,2025-01-04 17:11:13,A000193,C00744,PIX,Débito,Aprovada,Serviços,Academia,BodyTech,7997.0,124.69,BRL,1,,,Feira de Santana,BA,Brasil,False,False,4219.18
T00000085,2025-05-02 09:42:08,A001229,C00962,App,Débito,Aprovada,Habitação,Condomínio,Condomínio Alpha,6536.0,683.83,BRL,1,,,Porto Alegre,RS,Brasil,False,False,4260.12
T00000086,2025-10-27 11:19:57,A000592,C01047,PIX,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,564.19,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,1602.44
T00000087,2026-01-26 03:02:24,A000550,C00677,PIX,Débito,Aprovada,Habitação,Condomínio,Condomínio Alpha,6536.0,966.2,BRL,1,,,Caxias do Sul,RS,Brasil,False,False,5.31
T00000088,2024-10-20 20:16:53,A000324,C01356,Boleto,Débito,Aprovada,Impostos,IPVA,Detran,9399.0,1635.1,BRL,1,,,Brasília,DF,Brasil,False,False,6011.59
T00000089,2026-02-14 08:18:50,A001100,C00821,Saque ATM,Débito,Pendente,Habitação,Aluguel,Imobiliária Alpha,6513.0,200.0,BRL,1,,,Canoas,RS,Brasil,False,False,2447.58
T00000090,2025-02-05 09:52:03,A001964,C00487,TED,Débito,Aprovada,Saúde,Hospital,Santa Casa,8062.0,349.61,BRL,1,,,Campinas,SP,Brasil,False,False,0.0
T00000091,2025-11-13 15:04:23,A000481,C00368,Cartão Online,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,586.85,BRL,1,False,GCQYPL,Salvador,BA,Brasil,False,False,2377.41
T00000092,2025-05-08 08:58:38,A001318,C00486,Cartão Online,Crédito,Aprovada,Lazer,Show,Ticketmaster,7922.0,212.21,BRL,1,False,E5KG2S,Brasília,DF,Brasil,False,False,0.0
T00000093,2025-05-17 13:09:00,A001072,C01181,PIX,Débito,Aprovada,Serviços,Academia,BodyTech,7997.0,1160.45,BRL,1,,,Volta Redonda,RJ,Brasil,False,False,5204.1
T00000094,2025-03-01 16:25:02,A000833,C01069,Cartão Presencial,Crédito,Aprovada,Serviços,Internet,Claro NET,,252.51,BRL,1,True,UKJEFV,Ribeirão Preto,SP,Brasil,False,False,5536.33
T00000095,2025-04-28 02:21:08,A000598,C01056,Cartão Online,Crédito,Aprovada,Alimentação,Lanchonete,Pastel & Suco,5814.0,31.5,BRL,1,False,YRD7L7,Aparecida de Goiânia,GO,Brasil,False,False,4407.42
T00000096,2025-03-20 16:18:31,A000625,C00819,PIX,Débito,Aprovada,Saúde,Hospital,Hospital Central,8062.0,73.14,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,4711.61
T00000097,2025-01-19 11:40:17,A002046,C01490,PIX,Débito,Aprovada,Serviços,Internet,Claro NET,4816.0,189.7,BRL,1,,,Olinda,PE,Brasil,False,False,4888.48
T00000098,2025-01-31 18:28:05,A001443,C00317,Boleto,Débito,Pendente,Compras,Eletrônicos,Kalunga,5732.0,3086.08,BRL,1,,,Brasília,DF,Brasil,False,False,7049.03
T00000099,2024-12-26 14:35:49,A000241,C00146,TED,Débito,Aprovada,Alimentação,Supermercado,Supermax,5411.0,196.09,BRL,1,,,São José dos Campos,SP,Brasil,False,False,0.0
T00000100,2025-08-31 00:12:19,A000948,C00211,PIX,Débito,Aprovada,Transporte,Aplicativo,Uber,4121.0,71.11,BRL,1,,,Canoas,RS,Brasil,False,False,4994.34
T00000101,2024-09-15 22:49:56,A001529,C01490,PIX,Débito,Aprovada,Alimentação,Delivery,Rappi,5812.0,214.37,BRL,1,,,Recife,PE,Brasil,False,False,3118.5
T00000102,2025-10-31 22:27:04,A002180,C00914,PIX,Débito,Aprovada,Habitação,Aluguel,Imobiliária Alpha,6513.0,929.56,BRL,1,,,Brasília,DF,Brasil,False,False,4900.63
T00000103,2025-10-23 02:49:17,A001175,C00548,TED,Débito,Aprovada,Alimentação,Delivery,iFood,5812.0,49.99,BRL,1,,,Rio de Janeiro,RJ,Brasil,False,False,1007.76
T00000104,2025-07-16 02:15:17,A000610,C00051,App,Débito,Aprovada,Saúde,Clínica,Doctor Now,8099.0,620.44,BRL,1,,,Joinville,SC,Brasil,False,False,3223.48
T00000105,2025-03-05 05:51:12,A000324,C01356,TED,Débito,Aprovada,Serviços,Academia,BodyTech,7997.0,273.41,BRL,1,,,Goiânia,GO,Brasil,False,False,3284.32
T00000106,2025-06-30 18:31:10,A001229,C00962,PIX,Débito,Aprovada,Transporte,Combustível,Posto BR,5541.0,330.06,BRL,1,,,Feira de Santana,BA,Brasil,False,False,1947.54
T00000107,2025-08-13 20:13:52,A001950,C00772,Cartão Presencial,Crédito,Aprovada,Alimentação,Supermercado,BomPreço,5411.0,61.99,BRL,1,True,P9U6FA,Volta Redonda,RJ,Brasil,False,False,5369.04
T00000108,2025-11-25 01:11:29,A001357,C00069,TED,Débito,Aprovada,Transporte,Combustível,Posto BR,5541.0,312.7,BRL,1,,,Canoas,RS,Brasil,False,False,2452.25
T00000109,2025-11-22 12:09:15,A001948,C00269,Cartão Online,Crédito,Pendente,Lazer,Cinema,Cinemark,7832.0,50.02,BRL,1,False,,Maringá,PR,Brasil,False,False,3717.35
T00000110,2024-12-31 19:29:40,A000135,C01044,Cartão Online,Crédito,Aprovada,Compras,E-commerce,Mercado Livre,5969.0,148.87,BRL,1,False,D6F2A6,Canoas,RS,Brasil,False,False,1961.78
T00000111,2025-11-24 23:32:48,A001632,C00236,PIX,Débito,Aprovada,Transporte,Estacionamento,Estacione Bem,7523.0,254.92,BRL,1,,,Goiânia,GO,Brasil,False,False,1805.86
T00000112,2024-10-22 12:32:35,A001594,C00138,Saque ATM,Débito,Aprovada,Serviços,Academia,Smart Fit,7997.0,50.0,BRL,1,,,Duque de Caxias,RJ,Brasil,False,False,1888.41
T00000113,2025-05-22 07:40:15,A001791,C00300,PIX,Débito,Aprovada,Saúde,Farmácia,Raia,5912.0,1086.07,BRL,1,,,Aparecida de Goiânia,GO,Brasil,False,False,6389.09
T00000114,2025-11-14 08:56:22,A000122,C00543,Cartão Online,Crédito,Aprovada,Lazer,Show,Ticketmaster,7922.0,45.07,BRL,1,,HYQ3PL,Caxias do Sul,RS,Brasil,False,False,1717.71
T00000115,2025-03-21 05:43:33,A001538,C00823,PIX,Débito,Aprovada,Habitação,Condomínio,Condomínio Alpha,6536.0,10645.5,BRL,1,,,Duque de Caxias,RJ,Brasil,False,False,3323.05
T00000116,2026-01-16 04:20:17,A000302,C01108,Saque ATM,Débito,Pendente,Transporte,Estacionamento,Estacione Bem,7523.0,100.0,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,4475.69
T00000117,2025-05-08 06:05:27,A001596,C00175,Boleto,Débito,Aprovada,Serviços,Internet,Vivo Fibra,4816.0,1356.24,BRL,1,,,Rio de Janeiro,RJ,Brasil,False,False,6363.55
T00000118,2025-02-03 08:48:18,A001822,C01212,Boleto,Débito,Pendente,Serviços,Internet,Vivo Fibra,4816.0,279.97,BRL,1,,,Belo Horizonte,MG,Brasil,False,False,4952.68
T00000119,2024-11-19 10:11:07,A001766,C00893,Internet Banking,Débito,Aprovada,Impostos,Taxas,Sefaz,9399.0,1132.71,BRL,1,,,Rio de Janeiro,RJ,Brasil,False,False,5735.48
T00000120,2025-07-29 05:32:52,A001450,C00573,Cartão Presencial,Crédito,Aprovada,Transporte,Estacionamento,Park&Go,7523.0,92.42,BRL,1,True,,Santos,SP,Brasil,False,False,1543.0
T00000121,2026-02-25 02:47:06,A001589,C00523,PIX,Débito,Aprovada,Transporte,Aplicativo,InDrive,4121.0,184.03,BRL,1,,,Brasília,DF,Brasil,False,False,7172.55
T00000122,2025-09-28 20:03:56,A001560,C01224,Cartão Presencial,Crédito,Aprovada,Compras,Eletrônicos,FastShop,5732.0,121.03,BRL,1,True,8LX35T,Londrina,PR,Brasil,False,False,0.0
T00000123,2025-05-01 15:21:22,A000598,C01056,Boleto,Débito,Aprovada,Transporte,Aplicativo,99,4121.0,127.03,BRL,1,,,Londrina,PR,Brasil,False,False,2588.66
T00000124,2026-01-09 07:02:29,A001984,C00858,Cartão Presencial,Crédito,Aprovada,Transporte,Estacionamento,Park&Go,7523.0,49.01,BRL,1,True,976SN6,Canoas,RS,Brasil,False,False,2939.69
T00000125,2024-09-16 01:43:19,A002031,C00588,Cartão Presencial,Crédito,Aprovada,Saúde,Laboratório,Dasa,8071.0,251.59,BRL,1,True,8DAH6Y,Juiz de Fora,MG,Brasil,False,False,0.0
T00000126,2025-08-11 06:50:14,A001621,C01184,App,Débito,Aprovada,Serviços,Academia,BodyTech,7997.0,586.07,BRL,1,,,Olinda,PE,Brasil,False,False,0.0
T00000127,2025-01-26 18:58:04,A000558,C00634,PIX,Débito,Aprovada,Lazer,Bar,Bar do Zé,5813.0,392.27,BRL,1,,,Olinda,PE,Brasil,False,False,3074.96
T00000128,2025-03-18 02:41:08,A001632,C00236,PIX,Débito,Aprovada,Serviços,Internet,Oi Fibra,4816.0,197.8,BRL,1,,,Caruaru,PE,Brasil,False,False,4223.44
T00000129,2025-11-22 18:30:16,A001335,C01018,PIX,Débito,Aprovada,Habitação,Luz,Neoenergia,4900.0,2885.29,BRL,1,,,Florianópolis,SC,Brasil,False,False,648.97
T00000130,2025-02-20 15:41:54,A000819,C01327,DOC,Débito,Aprovada,Compras,Vestuário,Renner,5651.0,253.45,BRL,1,,,Caruaru,PE,Brasil,False,False,4539.84
T00000131,2026-01-15 17:48:31,A001796,C00314,App,Crédito,Aprovada,Lazer,Cinema,UCI,7832.0,110.78,BRL,1,,,Recife,PE,Brasil,False,False,7411.72
T00000132,2024-11-07 06:22:45,A001241,C00649,PIX,Débito,Aprovada,Saúde,Hospital,Hospital Central,8062.0,1551.93,BRL,1,,,Feira de Santana,BA,Brasil,False,False,0.0
T00000133,2025-11-07 01:51:01,A001840,C00788,Cartão Online,Débito,Aprovada,Impostos,Taxas,Sefaz,9399.0,62.72,BRL,1,False,XMZSK7,Brasília,DF,Brasil,False,False,7241.14
T00000134,2026-02-09 02:21:40,A000151,C01084,Cartão Presencial,Crédito,Aprovada,Serviços,Assinatura,Microsoft 365,4899.0,49.67,BRL,1,,HBN2GJ,Canoas,RS,Brasil,False,False,6365.11
T00000135,2025-08-11 03:50:31,A001455,C00909,PIX,Débito,Aprovada,Compras,Vestuário,Renner,5651.0,610.79,BRL,1,,,Feira de Santana,BA,Brasil,False,False,3868.95
T00000136,2025-10-18 18:39:37,A000434,C00868,PIX,Débito,Aprovada,Alimentação,Supermercado,HiperMais,5411.0,98.05,BRL,1,,,Canoas,RS,Brasil,False,False,4379.66
T00000137,2025-12-11 23:40:52,A000906,C00930,Boleto,Débito,Aprovada,Impostos,IPVA,Detran,9399.0,1329.57,BRL,1,,,Caruaru,PE,Brasil,False,False,5456.73
